"use","nlnet project","nlnet page","homepage listed on nlnet","GROUP repository url","repository url","packaging status (independent)","packaging status (nixpkgs)","subsystems","documentation","build system","SoN members","triage status","nixpkgs url","nixpkgs attr","primary contact","irc channel","matrix channel","entry reviewed","unofficial triage thread","issue tracker","forum","shortstring (""what am i looking at?"")","Note"
"y","VFRAME: Visual Defense Tools","https://nlnet.nl/project/Vframe/","https://vframe.io","https://github.com/vframeio",,,,,,,,,,,,,,,,,,,
"y","video box","https://nlnet.nl/project/VideoBox/","https://fosdem.org",,"https://github.com/FOSDEM/video-hardware",,,,,,,,,,,,,,,,,,
"n","Video chat privacy","https://nlnet.nl/project/VideoChatPrivacy/",,,,,,,,,,,,,,,,,,,,,
"y","Waasabi Framework","https://nlnet.nl/project/Waasabi/","https://waasabi.org",,"https://github.com/baytechc/waasabi-live",,,,,,,,,,,,,,,,,,
"y","Web Shell","https://nlnet.nl/project/Webshell/","http://websh.org","https://github.com/websh-org",,,,,,,,,,,,,,,,,,,
"y","Wireguard Windows client","https://nlnet.nl/project/WireGuardonWindows/","https://www.wireguard.com/",,"https://git.zx2c4.com/wireguard-windows",,,,,,,,,,,,,,,,,,
"y","Wireguard Rust Implementation","https://nlnet.nl/project/Wireguard-Rust/","https://www.wireguard.com/",,"https://git.zx2c4.com/wireguard-rs/",,,,,,,,,,,,,,,,,,
"y","Wishbone Streaming","https://nlnet.nl/project/WishboneStreaming/","https://libre-riscv.org/nlnet_2019_wishbone_streaming","https://git.libre-soc.org/",,,,,,,,,,,,,,,,,,,
"y","ZSipOs","https://nlnet.nl/project/ZSipOs/","https://www.vipcomag.de/","https://github.com/zsipos",,,,,,,,,,,,,,,,,,,
"y","ARPA2 resource ACL and HTTP SASL modules for NGINX","https://nlnet.nl/project/arpa2-nginx/","http://arpa2.net/",,"https://gitlab.com/arpa2/nginx-auth-a2aclr",,,,,,,,,,,,,,,,,,
"y","betrusted","https://nlnet.nl/project/betrusted/","https://betrusted.io","https://github.com/betrusted-io",,,,,,,,,,,,,,,,,,,
"y","Bitmask","https://nlnet.nl/project/bitmask/","https://bitmask.net",,"https://0xacab.org/kali/bitmask-vpn",,,,,,,,,,,,,,,,,,
"y","dhcpcanon","https://nlnet.nl/project/dhcpcanon/","https://dhcpcanon.readthedocs.io",,"https://github.com/juga0/dhcpcanon",,,,,,,,,,,,,,,,,,
"y","Katzenpost","https://nlnet.nl/project/katzenpost/","https://katzenpost.mixnetworks.org","https://github.com/katzenpost/",,,,,,,,,,,,,,,,,,,
"y","DNSSEC Key Signing Suite","https://nlnet.nl/project/keysigningsuite/",,,"https://github.com/NLnetLabs/dnssec-ceremony-doc",,,,,,,,,,,,,,,,,,
"y","libspng","https://nlnet.nl/project/libspng/","https://libspng.org",,"https://github.com/randy408/libspng",,,,,,,,,,,,,,,,,,
"y","mobile-nixos","https://nlnet.nl/project/mobile-nixos/","https://mobile.nixos.org",,"https://github.com/NixOS/mobile-nixos",,,,,,,,,,,,,,,,,,
"y","node-Tor","https://nlnet.nl/project/node-Tor/","https://github.com/Ayms/node-Tor",,"https://github.com/Ayms/node-Tor",,,,,,,,,,,,,,,,,,
"y","offen","https://nlnet.nl/project/offen/","https://offen.dev/",,"https://github.com/offen/offen",,,,,,,,,,,,,,,,,,
"y","pcb-rnd","https://nlnet.nl/project/pcb-rnd/","http://repo.hu/projects/pcb-rnd/",,"http://igor2.repo.hu/cgi-bin/minisvn.cgi?cmd=browse&repo=pcb-rnd&path=trunk",,,,,,,,,,,,,,,,,,
"y","postmarketOS","https://nlnet.nl/project/postmarketOS/","https://postmarketos.org",,"https://gitlab.com/postmarketOS",,,,,,,,,,,,,,,,,,
"y","x86-64-bit Virtual Machine Monitor for seL4 verified microkernel","https://nlnet.nl/project/seL4-64bitVMM/","https://sel4.systems/",,"https://github.com/seL4/seL4",,,,,,,,,,,,,,,,,,
"y","Virtualizing device firmware","https://nlnet.nl/project/virtualfirmware/",,"https://github.com/koenkooi",,,,,,,,,,,,,,,,,,,
"y","Vita","https://nlnet.nl/project/vita-cloud/","https://github.com/inters/vita",,"https://github.com/inters/vita",,,,,,,,,,,,,,,,,,
"y","Wireguard","https://nlnet.nl/project/wireguard-scaleup/","https://wireguard.com",,"https://git.zx2c4.com/wireguard-linux/tree/drivers/net/wireguard/",,,,,,,,,,,,,,,,,,
